	b	se	t	pvalue	ll	ul	df	crit	eform	
stunted2:Nyarugenge	 .28851306	 .04598136	 6.2745657	 8.547e-10	 .19813747	 .37888866	       431	 1.9654833	         0	
stunted2:Gasabo	 .22277488	 .03063489	 7.2719331	 1.683e-12	 .16256251	 .28298725	       431	 1.9654833	         0	
stunted2:Kicukiro	 .16540131	 .05827853	 2.8381176	  .0047524	 .05085584	 .27994679	       431	 1.9654833	         0	
stunted2:Nyanza	 .34140891	 .03391439	 10.066786	 1.502e-21	 .27475074	 .40806708	       431	 1.9654833	         0	
stunted2:Gisagara	 .36067891	 .02741823	 13.154711	 1.831e-33	 .30678884	 .41456899	       431	 1.9654833	         0	
stunted2:Nyaruguru	 .44229562	 .04348381	 10.171501	 6.326e-22	 .35682892	 .52776232	       431	 1.9654833	         0	
stunted2:Huye	 .42727934	 .05856881	 7.2953392	 1.442e-12	 .31216332	 .54239536	       431	 1.9654833	         0	
stunted2:Nyamagabe	 .53145191	 .05172472	 10.274621	 2.687e-22	 .42978783	 .63311599	       431	 1.9654833	         0	
stunted2:Ruhango	 .42323364	 .03756798	 11.265807	 5.578e-26	 .34939439	 .49707288	       431	 1.9654833	         0	
stunted2:Muhanga	 .40895314	 .04869662	 8.3979774	 6.624e-16	 .31324074	 .50466554	       431	 1.9654833	         0	
stunted2:Kamonyi	 .33761888	  .0584102	 5.7801353	 1.434e-08	  .2228146	 .45242316	       431	 1.9654833	         0	
stunted2:Karongi	 .49181952	 .06403449	 7.6805412	 1.075e-13	 .36596081	 .61767824	       431	 1.9654833	         0	
stunted2:Rutsiro	 .44761343	 .07920687	 5.6511949	 2.901e-08	 .29193366	  .6032932	       431	 1.9654833	         0	
stunted2:Rubavu	 .45227095	 .04372725	 10.343001	 1.518e-22	 .36632578	 .53821612	       431	 1.9654833	         0	
stunted2:Nyabihu	 .57383028	 .05030027	 11.408094	 1.595e-26	 .47496593	 .67269463	       431	 1.9654833	         0	
stunted2:Ngororero	 .55988323	 .04873033	 11.489421	 7.769e-27	 .46410459	 .65566188	       431	 1.9654833	         0	
stunted2:Rusizi	 .35317299	 .03728081	 9.4733172	 1.815e-19	 .27989817	 .42644781	       431	 1.9654833	         0	
stunted2:Nyamasheke	 .34234033	 .03826118	 8.9474598	 1.088e-17	 .26713863	 .41754204	       431	 1.9654833	         0	
stunted2:Rulindo	 .32540667	 .04650874	  6.996678	 1.007e-11	 .23399452	 .41681882	       431	 1.9654833	         0	
stunted2:Gakenke	 .43951762	 .07018208	 6.2625331	 9.174e-10	 .30157591	 .57745934	       431	 1.9654833	         0	
stunted2:Musanze	 .38003176	 .03228666	 11.770552	 6.335e-28	 .31657287	 .44349064	       431	 1.9654833	         0	
stunted2:Burera	 .43159871	 .04275475	 10.094754	 1.193e-21	 .34756495	 .51563246	       431	 1.9654833	         0	
stunted2:Gicumbi	 .37094817	 .06301257	 5.8868912	 7.922e-09	 .24709801	 .49479834	       431	 1.9654833	         0	
stunted2:Rwamagana	 .25389048	 .02907435	 8.7324552	 5.545e-17	 .19674532	 .31103563	       431	 1.9654833	         0	
stunted2:Nyagatare	 .38923195	 .07674533	 5.0717346	 5.867e-07	 .23839028	 .54007362	       431	 1.9654833	         0	
stunted2:Gatsibo	 .30070837	 .04461405	  6.740217	 5.089e-11	  .2130202	 .38839654	       431	 1.9654833	         0	
stunted2:Kayonza	 .41682647	 .05271831	 7.9066739	 2.239e-14	 .31320951	 .52044342	       431	 1.9654833	         0	
stunted2:Kirehe	 .28879851	 .03760867	 7.6790408	 1.086e-13	  .2148793	 .36271773	       431	 1.9654833	         0	
stunted2:Ngoma	 .40931153	 .03679477	 11.124176	 1.924e-25	 .33699202	 .48163104	       431	 1.9654833	         0	
stunted2:Bugesera	 .39851762	 .04465945	 8.9234788	 1.306e-17	 .31074022	 .48629501	       431	 1.9654833	         0	
