	b	se	t	pvalue	ll	ul	df	crit	eform
Urban Area	0.22652463	0.02534524	8.9375623	1.17E-17	0.17670899	0.27634028	431	1.9654833	0
Lake Kivu Coffee	0.35782034	0.02753781	12.993781	8.33E-33	0.30369523	0.41194546	431	1.9654833	0
Western Congo-Nile Crest Tea	0.52406704	0.03604302	14.540042	2.95E-39	0.45322509	0.594909	431	1.9654833	0
Northwestern Volcanic Irish Pota	0.4600084	0.02861304	16.076878	6.70E-46	0.40376994	0.51624686	431	1.9654833	0
Eastern Congo-Nile Highland 	0.47700157	0.02781278	17.150446	1.23E-50	0.42233601	0.53166712	431	1.9654833	0
Central Plateau Cassava and Coff	0.38434769	0.01874473	20.504307	1.05E-65	0.34750524	0.42119014	431	1.9654833	0
Northern Highland Beans and Wheat	0.43798576	0.05851763	7.4846799	4.08E-13	0.32297033	0.5530012	431	1.9654833	0
Central-Northern Highland Irish	0.38475641	0.03945387	9.752057	1.95E-20	0.30721048	0.46230234	431	1.9654833	0
Bugesera Cassava	0.37763992	0.04181264	9.0317173	5.70E-18	0.29545788	0.45982197	431	1.9654833	0
Eastern Plateau Mixed Agriculture	0.33720322	0.0329113	10.245819	3.42E-22	0.27251661	0.40188983	431	1.9654833	0
Southeastern Plateau Banana	0.32992159	0.02408864	13.696146	1.06E-35	0.28257576	0.37726742	431	1.9654833	0
Eastern Agropastoral	0.33376292	0.0788992	4.2302444	0.00002853	0.17868785	0.48883799	431	1.9654833	0
Eastern Semi-Arid Agropastoral	0.28147597	0.03615551	7.7851483	5.22E-14	0.21041293	0.35253902	431	1.9654833	0
