FID,FID_RWGE61,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,FID_RW_LHZ,COUNTRY,LZCODE,LZNAMEE,CLASS,LZNUM,LZNAMEF
0,351,RW201000000352,RW,"2,010.000000000000000",352.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.800865000000000,29.579654999999999,"1,796.000000000000000","1,800.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
1,385,RW201000000386,RW,"2,010.000000000000000",386.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.792961000000000,29.418105000000001,"2,407.000000000000000","2,401.000000000000000",WGS84,4,RW, ,Nyungwe Forest National Park,NP,13,Forêt de Nyungwe
2,233,RW201000000234,RW,"2,010.000000000000000",234.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,5.000000000000000,Gisagara,GPS,R,-2.789598000000000,29.744879000000001,"1,706.000000000000000","1,701.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
3,46,RW201000000047,RW,"2,010.000000000000000",47.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.766533000000000,29.442456000000000,"2,192.000000000000000","2,181.000000000000000",WGS84,6,RW,RW02,Western Congo-Nile Crest Tea,AG02,2,Zone du thé du ouest crête Congo-Nile
4,84,RW201000000085,RW,"2,010.000000000000000",85.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.762775000000000,29.682687000000001,"1,799.000000000000000","1,785.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
5,220,RW201000000221,RW,"2,010.000000000000000",221.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,5.000000000000000,Gisagara,GPS,R,-2.760754000000000,29.849705000000000,"1,469.000000000000000","1,454.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
6,241,RW201000000242,RW,"2,010.000000000000000",242.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.758512000000000,29.662262999999999,"1,845.000000000000000","1,829.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
7,163,RW201000000164,RW,"2,010.000000000000000",164.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.752702000000000,29.495145000000001,"2,242.000000000000000","2,236.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
8,218,RW201000000219,RW,"2,010.000000000000000",219.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.733294000000000,29.569965000000000,"1,860.000000000000000","1,860.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
9,387,RW201000000388,RW,"2,010.000000000000000",388.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,5.000000000000000,Gisagara,GPS,R,-2.731362000000000,29.780691000000001,"1,571.000000000000000","1,557.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
10,129,RW201000000130,RW,"2,010.000000000000000",130.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.711069000000000,29.728344000000000,"1,745.000000000000000","1,745.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
11,112,RW201000000113,RW,"2,010.000000000000000",113.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,6.000000000000000,Nyaruguru,GPS,R,-2.709533000000000,29.472352999999998,"2,259.000000000000000","2,233.000000000000000",WGS84,6,RW,RW02,Western Congo-Nile Crest Tea,AG02,2,Zone du thé du ouest crête Congo-Nile
