"","lvdzone2","N","unweighted_avg","unweighted_sd","avg","ci","ub","lb"
"1","Western Congo-Nile Crest Tea",205,0.492682926829268,0.501170318541981,0.492682926829268,0.0700065067620419,0.56268943359131,0.422676420067226
"2","Northern Highland Beans and Wheat",128,0.484375,0.50171948431856,0.484375,0.0886923124037679,0.573067312403768,0.395682687596232
"3","Eastern Congo-Nile Highland Subsistence Farming",651,0.442396313364055,0.497052638833153,0.442396313364055,0.0389620577000394,0.481358371064095,0.403434255664016
"4","Northwestern Volcanic Irish Potato",311,0.430868167202572,0.495995790808281,0.430868167202572,0.0562506819679454,0.487118849170518,0.374617485234627
"5","Eastern Plateau Mixed Agricultural",259,0.428571428571429,0.495829785389839,0.428571428571429,0.0616187275448219,0.49019015611625,0.366952701026607
"6","Eastern Agropastoral",101,0.415841584158416,0.49532467599895,0.415841584158416,0.0985732947695337,0.51441487892795,0.317268289388882
"7","Eastern Semi-Arid Agropastoral",123,0.398373983739837,0.491565538521435,0.398373983739837,0.0886459439067444,0.487019927646582,0.309728039833093
"8","Central-Northern Highland Irish Potato, Beans and Vegetables",224,0.379464285714286,0.486340483594923,0.379464285714286,0.064989980818934,0.44445426653322,0.314474304895352
"9","Lake Kivu Coffee",457,0.354485776805252,0.478881427284599,0.354485776805252,0.0448022566442954,0.399288033449547,0.309683520160956
"10","Southeastern Plateau Banana",370,0.340540540540541,0.474532695227437,0.340540540540541,0.0493395602298366,0.389880100770377,0.291200980310704
"11","Bugesera Cassava",186,0.32258064516129,0.468725478870399,0.32258064516129,0.0687372392133462,0.391317884374637,0.253843405947944
"12","Central Plateau Cassava and Coffee",651,0.30568356374808,0.461050590940252,0.30568356374808,0.0361399946875269,0.341823558435607,0.269543569060553
"13","Urban Area",397,0.163727959697733,0.370495445723885,0.163727959697733,0.0371892667950994,0.200917226492832,0.126538692902634
