"","lvdzone2","N","unweighted_avg","unweighted_sd","avg","ci","ub","lb","livelihood_zone"
"1","Western Congo-Nile Crest Tea",228,0.521929824561403,0.500617903997263,0.521929824561403,0.0663084612370456,0.588238285798449,0.455621363324358,"West Congo-Nile Crest Tea Zone"
"2","Northwestern Volcanic Irish Potato",262,0.465648854961832,0.499773280761822,0.465648854961832,0.0617521927988982,0.52740104776073,0.403896662162934,"Northwest Volcanic Irish Potato Zone"
"3","Eastern Congo-Nile Highland Subsistence Farming",453,0.461368653421634,0.499056524532977,0.461368653421634,0.0468954418848054,0.508264095306439,0.414473211536828,"East Congo-Nile Highland Subsistence Farming Zone"
"4","Northern Highland Beans and Wheat",76,0.460526315789474,0.501751318847208,0.460526315789474,0.115109647033854,0.575635962823328,0.345416668755619,"Northern Highland Beans and Wheat Zone"
"5","Central Plateau Cassava and Coffee",618,0.381877022653722,0.486240202250699,0.381877022653722,0.0391188988571772,0.420995921510899,0.342758123796544,"Central Plateau Cassava and Coffee Zone"
"6","Central-Northern Highland Irish Potato, Beans and Vegetables",172,0.372093023255814,0.484774297948065,0.372093023255814,0.0739273873710721,0.446020410626886,0.298165635884742,"Central-Northern Highland Irish Potato, Beans and Vegetable Zone"
"7","Bugesera Cassava",173,0.369942196531792,0.484190161938884,0.369942196531792,0.0736245926678864,0.443566789199678,0.296317603863905,"Bugesera Cassava Zone"
"8","Lake Kivu Coffee",411,0.345498783454988,0.476110185928486,0.345498783454988,0.0469695671151699,0.392468350570158,0.298529216339818,"Lake Kivu Coffee Zone"
"9","Eastern Plateau Mixed Agricultural",173,0.341040462427746,0.475435007154177,0.341040462427746,0.0722933084836165,0.413333770911362,0.268747153944129,"Eastern Plateau Mixed Agriculture Zone"
"10","Eastern Agropastoral",105,0.323809523809524,0.470172597098418,0.323809523809524,0.0917682943613495,0.415577818170873,0.232041229448174,"Eastern Agropastoral Zone"
"11","Southeastern Plateau Banana",380,0.323684210526316,0.468497970713535,0.323684210526316,0.0480668775947912,0.371751088121107,0.275617332931525,"Southeastern Plateau Banana Zone"
"12","Eastern Semi-Arid Agropastoral",97,0.278350515463918,0.450515169029605,0.278350515463918,0.0914857698417467,0.369836285305664,0.186864745622171,"Eastern Semi-Arid Agropastoral Zone"
"13","Urban Area",390,0.230769230769231,0.421866245542283,0.230769230769231,0.0427240554504454,0.273493286219676,0.188045175318785,"Kigali city"
